"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","AT","Austria",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","BE","Belgium",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","CZ","Czechia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","DE","Germany",0.019834140,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","EL","Greece",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","ES","Spain",-,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","EU27_21","EU (without UK)",0.007728000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","EU27_UK_21","EU (with UK until 2019)",0.008851000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","EUEEA30_21","EU/EEA (without UK)",0.007728000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",0.008851000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","FI","Finland",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","FR","France",0.001539640,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","HU","Hungary",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","IE","Ireland",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","IT","Italy",0.015118420,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","MT","Malta",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","SI","Slovenia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","SK","Slovakia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2008","UK","United Kingdom",0.015036500,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2009","AT","Austria",0.094989550,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2009","BE","Belgium",0.058428950,""
