disease,country_code,year,cases
wnv,AT,2008,0
wnv,AT,2009,2
wnv,AT,2010,1
wnv,AT,2011,0
wnv,AT,2012,0
wnv,AT,2013,0
wnv,AT,2014,2
wnv,AT,2015,6
wnv,AT,2016,5
wnv,AT,2017,6
wnv,AT,2018,21
wnv,AT,2019,4
wnv,AT,2020,0
wnv,AT,2021,3
wnv,AT,2022,6
wnv,AT,2023,0
wnv,AT,2024,34
wnv,BE,2008,0
wnv,BE,2009,0
wnv,BE,2010,0
wnv,BE,2011,0
wnv,BE,2012,0
wnv,BE,2013,0
wnv,BE,2014,0
wnv,BE,2015,0
wnv,BE,2016,0
wnv,BE,2017,0
wnv,BE,2018,0
wnv,BE,2019,0
wnv,BE,2020,0
wnv,BE,2021,0
wnv,BE,2022,0
wnv,BE,2023,0
wnv,BE,2024,0
wnv,BG,2008,0
wnv,BG,2012,2
wnv,BG,2013,0
wnv,BG,2014,0
wnv,BG,2015,2
wnv,BG,2016,2
wnv,BG,2017,1
wnv,BG,2018,15
wnv,BG,2019,5
wnv,BG,2020,1
wnv,BG,2021,0
wnv,BG,2022,1
wnv,BG,2023,0
wnv,BG,2024,19
wnv,CY,2008,0
wnv,CY,2009,0
wnv,CY,2010,0
wnv,CY,2011,0
wnv,CY,2012,0
wnv,CY,2013,0
wnv,CY,2014,0
wnv,CY,2015,0
wnv,CY,2016,1
wnv,CY,2017,0
wnv,CY,2018,1
wnv,CY,2019,23
wnv,CY,2020,0
wnv,CY,2021,0
wnv,CY,2022,0
wnv,CY,2023,6
wnv,CY,2024,2
wnv,CZ,2008,0
wnv,CZ,2009,0
wnv,CZ,2010,0
wnv,CZ,2011,0
wnv,CZ,2012,0
wnv,CZ,2013,1
wnv,CZ,2014,0
wnv,CZ,2015,0
wnv,CZ,2016,0
wnv,CZ,2017,0
wnv,CZ,2018,5
wnv,CZ,2019,1
wnv,CZ,2020,0
wnv,CZ,2021,0
wnv,CZ,2022,0
wnv,CZ,2023,0
wnv,CZ,2024,2
wnv,EE,2008,0
wnv,EE,2009,0
wnv,EE,2010,0
wnv,EE,2011,0
wnv,EE,2012,0
wnv,EE,2013,0
wnv,EE,2014,0
wnv,EE,2015,0
wnv,EE,2016,0
wnv,EE,2017,0
wnv,EE,2018,0
wnv,EE,2019,0
wnv,EE,2020,0
wnv,EE,2021,0
wnv,EE,2022,0
wnv,EE,2023,0
wnv,EE,2024,0
wnv,EL,2008,0
wnv,EL,2009,0
wnv,EL,2010,262
wnv,EL,2011,99
wnv,EL,2012,161
wnv,EL,2013,86
wnv,EL,2014,15
wnv,EL,2015,0
wnv,EL,2016,0
wnv,EL,2017,48
wnv,EL,2018,315
wnv,EL,2019,227
wnv,EL,2020,144
wnv,EL,2021,59
wnv,EL,2022,286
wnv,EL,2023,162
wnv,EL,2024,219
wnv,ES,2008,0
wnv,ES,2009,0
wnv,ES,2010,2
wnv,ES,2011,0
wnv,ES,2012,0
wnv,ES,2013,0
wnv,ES,2014,0
wnv,ES,2015,0
wnv,ES,2016,3
wnv,ES,2017,0
wnv,ES,2018,0
wnv,ES,2019,0
wnv,ES,2020,77
wnv,ES,2021,6
wnv,ES,2022,4
wnv,ES,2023,21
wnv,ES,2024,159
wnv,FI,2008,0
wnv,FI,2009,0
wnv,FI,2010,0
wnv,FI,2011,0
wnv,FI,2012,0
wnv,FI,2013,0
wnv,FI,2014,0
wnv,FI,2015,0
wnv,FI,2016,0
wnv,FI,2017,0
wnv,FI,2018,0
wnv,FI,2019,0
wnv,FI,2020,0
wnv,FI,2021,0
wnv,FI,2022,0
wnv,FI,2023,0
wnv,FI,2024,0
wnv,FR,2008,0
wnv,FR,2009,0
wnv,FR,2010,0
wnv,FR,2011,0
wnv,FR,2012,0
wnv,FR,2013,0
wnv,FR,2014,0
wnv,FR,2015,1
wnv,FR,2016,0
wnv,FR,2017,2
wnv,FR,2018,27
wnv,FR,2019,2
wnv,FR,2020,0
wnv,FR,2021,1
wnv,FR,2022,6
wnv,FR,2023,43
wnv,FR,2024,39
wnv,HU,2008,19
wnv,HU,2009,7
wnv,HU,2010,18
wnv,HU,2011,4
wnv,HU,2012,17
wnv,HU,2013,35
wnv,HU,2014,10
wnv,HU,2015,18
wnv,HU,2016,44
wnv,HU,2017,20
wnv,HU,2018,215
wnv,HU,2019,36
wnv,HU,2020,3
wnv,HU,2021,7
wnv,HU,2022,14
wnv,HU,2023,30
wnv,HU,2024,111
wnv,IE,2008,0
wnv,IE,2009,0
wnv,IE,2010,0
wnv,IE,2011,0
wnv,IE,2012,0
wnv,IE,2013,0
wnv,IE,2014,0
wnv,IE,2015,0
wnv,IE,2016,0
wnv,IE,2017,0
wnv,IE,2018,0
wnv,IE,2019,0
wnv,IE,2020,0
wnv,IE,2021,0
wnv,IE,2022,0
wnv,IE,2023,0
wnv,IE,2024,0
wnv,IT,2008,3
wnv,IT,2009,16
wnv,IT,2010,7
wnv,IT,2011,32
wnv,IT,2012,73
wnv,IT,2013,126
wnv,IT,2014,24
wnv,IT,2015,61
wnv,IT,2016,76
wnv,IT,2017,53
wnv,IT,2018,610
wnv,IT,2019,54
wnv,IT,2020,69
wnv,IT,2021,65
wnv,IT,2022,723
wnv,IT,2023,341
