disease,country_code,year,rate_per_100k
wnv,AT,2008,0.0
wnv,AT,2009,0.024
wnv,AT,2010,0.012
wnv,AT,2011,0.0
wnv,AT,2012,0.0
wnv,AT,2013,0.0
wnv,AT,2014,0.0235
wnv,AT,2015,0.0699
wnv,AT,2016,0.0575
wnv,AT,2017,0.0684
wnv,AT,2018,0.238
wnv,AT,2019,0.0452
wnv,AT,2020,0.0
wnv,AT,2021,0.0336
wnv,AT,2022,0.0668
wnv,AT,2023,0.0
wnv,AT,2024,0.3712
wnv,BE,2008,0.0
wnv,BE,2009,0.0
wnv,BE,2010,0.0
wnv,BE,2011,0.0
wnv,BE,2012,0.0
wnv,BE,2013,0.0
wnv,BE,2014,0.0
wnv,BE,2015,0.0
wnv,BE,2016,0.0
wnv,BE,2017,0.0
wnv,BE,2018,0.0
wnv,BE,2019,0.0
wnv,BE,2020,0.0
wnv,BE,2021,0.0
wnv,BE,2022,0.0
wnv,BE,2023,0.0
wnv,BE,2024,0.0
wnv,BG,2008,0.0
wnv,BG,2012,0.0273
wnv,BG,2013,0.0
wnv,BG,2014,0.0
wnv,BG,2015,0.0285
wnv,BG,2016,0.0288
wnv,BG,2017,0.0146
wnv,BG,2018,0.222
wnv,BG,2019,0.075
wnv,BG,2020,0.0152
wnv,BG,2021,0.0
wnv,BG,2022,0.0154
wnv,BG,2023,0.0
wnv,BG,2024,0.2948
wnv,CY,2008,0.0
wnv,CY,2009,0.0
wnv,CY,2010,0.0
wnv,CY,2011,0.0
wnv,CY,2012,0.0
wnv,CY,2013,0.0
wnv,CY,2014,0.0
wnv,CY,2015,0.0
wnv,CY,2016,0.1158
wnv,CY,2017,0.0
wnv,CY,2018,0.1138
wnv,CY,2019,2.5837
wnv,CY,2020,0.0
wnv,CY,2021,0.0
wnv,CY,2022,0.0
wnv,CY,2023,0.6322
wnv,CY,2024,0.207
wnv,CZ,2008,0.0
wnv,CZ,2009,0.0
wnv,CZ,2010,0.0
wnv,CZ,2011,0.0
wnv,CZ,2012,0.0
wnv,CZ,2013,0.0095
wnv,CZ,2014,0.0
wnv,CZ,2015,0.0
wnv,CZ,2016,0.0
wnv,CZ,2017,0.0
wnv,CZ,2018,0.0471
wnv,CZ,2019,0.0094
wnv,CZ,2020,0.0
wnv,CZ,2021,0.0
wnv,CZ,2022,0.0
wnv,CZ,2023,0.0
wnv,CZ,2024,0.0183
wnv,EE,2008,0.0
wnv,EE,2009,0.0
wnv,EE,2010,0.0
wnv,EE,2011,0.0
wnv,EE,2012,0.0
wnv,EE,2013,0.0
wnv,EE,2014,0.0
wnv,EE,2015,0.0
wnv,EE,2016,0.0
wnv,EE,2017,0.0
wnv,EE,2018,0.0
wnv,EE,2019,0.0
wnv,EE,2020,0.0
wnv,EE,2021,0.0
wnv,EE,2022,0.0
wnv,EE,2023,0.0
wnv,EE,2024,0.0
wnv,EL,2008,0.0
wnv,EL,2009,0.0
wnv,EL,2010,2.3563
wnv,EL,2011,0.89
wnv,EL,2012,1.4522
wnv,EL,2013,0.7816
wnv,EL,2014,0.1373
wnv,EL,2015,0.0
wnv,EL,2016,0.0
