iso3,period,cases,deaths
FRA,2026,0,0
FRA,2025,29,0
FRA,2025-07,15,
FRA,2025-08,3,
FRA,2025-09,1,
FRA,2025-06,10,
FRA,2024,85,0
FRA,2024-07,1,
FRA,2024-08,35,
FRA,2024-09,39,
FRA,2024-10,9,
FRA,2024-06,1,
ITA,2026,0,0
ITA,2025,4,0
ITA,2025-07,4,
ITA,2024,213,0
ITA,2024-07,1,
ITA,2024-08,23,
ITA,2024-09,161,
ITA,2024-10,28,
ESP,2026,0,0
ESP,2025,0,0
ESP,2024,10,0
ESP,2024-08,2,
ESP,2024-09,8,
GRC,2026,0,0
GRC,2025,0,0
GRC,2024,0,0
DEU,2026,0,0
DEU,2025,0,0
DEU,2024,0,0
PRT,2026,0,0
PRT,2025,0,0
PRT,2024,0,0
HRV,2026,0,0
HRV,2025,0,0
HRV,2024,0,0
AUT,2026,0,0
AUT,2025,0,0
AUT,2024,0,0
HUN,2026,0,0
HUN,2025,0,0
HUN,2024,0,0
ROU,2026,0,0
ROU,2025,0,0
ROU,2024,0,0
BGR,2026,0,0
BGR,2025,0,0
BGR,2024,0,0
TUR,2026,0,0
TUR,2025,0,0
TUR,2024,0,0
