species,gbif_species_key,country_code,observation_count
Aedes albopictus,1651430,FR,2520
Aedes albopictus,1651430,IT,6799
Aedes albopictus,1651430,ES,18569
Aedes albopictus,1651430,GR,839
Aedes albopictus,1651430,DE,519
Aedes albopictus,1651430,PT,329
Aedes albopictus,1651430,HR,1476
Aedes albopictus,1651430,RO,163
Aedes albopictus,1651430,BG,150
Aedes albopictus,1651430,HU,1913
Aedes albopictus,1651430,AT,2528
Aedes albopictus,1651430,SI,113
Aedes albopictus,1651430,SK,16
Aedes albopictus,1651430,CZ,11
Aedes albopictus,1651430,PL,73
Aedes albopictus,1651430,BE,446
Aedes albopictus,1651430,NL,230
Aedes albopictus,1651430,CH,738
Aedes albopictus,1651430,AL,830
Aedes albopictus,1651430,RS,898
Aedes albopictus,1651430,BA,12
Aedes albopictus,1651430,ME,224
Aedes albopictus,1651430,MK,101
Aedes albopictus,1651430,TR,742
Aedes albopictus,1651430,CY,54
Aedes albopictus,1651430,MT,5
Aedes albopictus,1651430,SE,86
Aedes albopictus,1651430,NO,11
Aedes albopictus,1651430,DK,5
Aedes albopictus,1651430,FI,20
Aedes albopictus,1651430,IE,27
Aedes albopictus,1651430,GB,62
Aedes albopictus,1651430,LU,38
Aedes albopictus,1651430,EE,5
Aedes albopictus,1651430,LV,6
Aedes albopictus,1651430,LT,10
Aedes aegypti,1651228,SE,31
Aedes aegypti,1651228,NO,13
Aedes aegypti,1651228,FI,154
Aedes aegypti,1651228,EE,4
