country_iso3,observation_count
ESP,131005
ITA,55574
NLD,27470
AUT,26131
HUN,10956
DEU,2240
GRC,2229
FRA,2046
PRT,1369
URY,762
BGR,679
TUR,665
SVK,598
STL,546
SRB,514
LUX,491
HRV,461
BEL,443
ROU,378
CYP,328
BGD,312
SWE,295
MKD,266
ALB,246
GBR,244
POL,235
CHE,213
SVN,190
ECU,185
UKR,183
CZE,112
RPN,102
LKA,60
LTU,53
TZA,49
FIN,46
BIH,43
DNK,42
LVA,38
MNE,37
MDA,36
NOR,29
IRL,29
BLR,23
MLT,18
EST,17
GIB,11
AND,10
SJM,5
ISL,3
VAT,3
JEY,2
FRO,2
JAM,2
GGY,1
MCO,1
LIE,1
