nuts3_id,water_area_km2,water_bodies_count,water_pct
AL011,11.69,1,0.47
AL012,2.86,2,0.41
AL013,91.77,1,3.98
AL014,3.81,2,0.23
AL015,254.49,6,7.26
AL021,6.49,4,0.21
AL022,0.68,1,0.04
AL031,0.01,1,0.0
AL032,20.69,6,1.04
AL034,92.72,3,2.49
AL035,18.81,3,0.75
AT112,142.1,5,8.01
AT121,1.81,2,0.05
AT123,1.71,2,0.15
AT124,10.76,7,0.24
AT126,18.77,8,0.7
AT127,15.98,3,1.04
AT211,26.59,7,1.31
AT212,25.54,4,0.64
AT213,8.16,2,0.24
AT222,5.36,3,0.16
AT311,9.52,2,0.34
AT312,0.81,1,0.05
AT313,0.13,1,0.0
AT314,0.46,1,0.02
AT315,86.12,7,3.46
AT322,6.71,3,0.15
AT323,29.52,11,1.58
AT331,6.16,4,0.48
AT335,7.38,2,0.18
AT341,0.74,1,0.04
AT342,58.21,1,7.41
BE211,20.41,1,2.02
BE212,0.33,1,0.07
BE213,1.0,1,0.07
BE232,0.75,1,0.2
BE234,2.71,4,0.25
BE236,4.94,1,1.03
BE251,0.51,1,0.08
BE252,0.72,1,0.23
BE255,0.59,1,0.19
BE323,0.54,1,0.1
BE328,0.65,1,0.09
BE32D,1.76,2,0.22
BE335,2.45,2,0.2
BE336,2.18,2,0.27
BE342,1.26,1,0.11
BE345,0.74,1,0.09
BE353,7.93,1,0.8
BG311,46.82,3,1.49
BG312,19.05,2,0.54
BG313,7.46,1,0.21
BG314,24.05,5,0.53
BG315,3.37,2,0.08
BG321,21.81,2,0.48
BG322,1.7,2,0.09
BG323,53.28,1,1.78
BG324,2.19,1,0.1
BG325,30.18,3,1.02
BG331,17.42,2,0.47
BG332,2.8,2,0.06
BG333,1.63,2,0.05
BG334,1.59,3,0.06
BG341,66.53,4,0.83
BG342,2.45,2,0.07
BG343,7.2,2,0.21
BG344,22.25,9,0.42
BG411,15.76,3,1.3
BG412,20.02,3,0.28
BG413,5.97,3,0.09
BG414,2.27,2,0.09
BG421,17.93,10,0.31
BG422,42.54,13,0.76
BG423,40.72,6,0.91
BG424,5.86,1,0.18
BG425,38.54,2,1.2
CH011,456.45,5,14.33
CH012,8.85,4,0.17
CH013,33.11,1,14.36
CH021,112.87,9,1.85
CH022,68.32,4,3.98
CH024,98.48,2,12.28
CH033,9.26,1,0.63
CH040,70.67,4,3.96
CH052,2.11,1,0.97
CH055,83.43,3,3.89
CH056,7.94,4,0.11
CH057,49.76,1,5.76
CH061,62.13,6,4.25
CH062,15.67,1,1.44
CH063,43.11,7,4.99
CH064,8.45,2,1.92
CH065,37.45,2,13.43
CH066,32.28,2,14.93
CH070,73.6,5,2.61
CY000,31.72,19,0.34
CZ020,28.36,18,0.26
CZ031,150.82,95,1.48
CZ032,19.31,16,0.25
CZ041,14.5,6,0.43
CZ042,21.8,6,0.41
CZ051,6.49,3,0.21
CZ052,1.45,3,0.03
CZ053,4.52,8,0.1
CZ063,14.37,16,0.21
CZ064,11.32,4,0.16
CZ071,0.81,1,0.02
CZ072,0.5,1,0.01
CZ080,3.61,2,0.07
DE111,0.71,1,0.43
DE11C,0.6,1,0.1
DE122,2.79,2,2.29
DE123,1.03,3,0.09
DE124,3.24,4,0.44
DE12C,0.8,1,0.09
DE132,4.85,3,0.36
DE134,1.3,2,0.07
DE138,69.85,3,7.89
DE139,0.11,1,0.01
DE13A,6.04,1,0.56
DE145,0.58,1,0.04
DE146,1.47,1,0.11
DE147,269.04,1,27.83
DE148,1.59,2,0.09
DE149,1.37,3,0.11
DE212,1.4,1,0.49
DE214,2.15,1,0.4
DE215,4.5,2,0.56
DE216,23.53,4,2.19
DE218,0.41,3,0.08
DE21A,1.29,2,0.15
DE21B,0.73,1,0.09
DE21D,11.59,4,1.17
DE21E,39.12,1,4.79
DE21F,11.04,3,1.31
DE21H,3.46,2,0.47
DE21I,0.29,1,0.04
