nuts2_id,name,nights_2023
DE21,Oberbayern,41606109
DE30,Berlin,29383378
DE50,Bremen,2710499
DE71,Darmstadt,19805806
EL30,Attiki,12409598
EL42,Notio Aigaio,38360186
EL43,Kriti,34342891
ES30,Comunidad de Madrid,30238007
ES51,Cataluña,85635851
ES52,Comunitat Valenciana,52449694
ES53,Illes Balears,68791810
ES61,Andalucía,73900351
FR10,Ile de France,85162673
FRE2,Picardie,6489556
FRJ1,Languedoc-Roussillon,38706486
FRJ2,Midi-Pyrénées,17469392
FRK2,Rhône-Alpes,53752587
FRL0,Provence-Alpes-Côte d’Azur,55080043
HR05,Grad Zagreb,2507454
ITC4,Lombardia,41795073
ITF3,Campania,20695842
ITG1,Sicilia,16448284
ITH3,Veneto,71896863
ITH5,Emilia-Romagna,39176137
ITI4,Lazio,45727169
HU11,Budapest,9980022
AT13,Wien,16474060
