country_code,year,avg_risk_score
AL,2020,33
AL,2021,35
AL,2022,38
AL,2023,40
AL,2024,45
AT,2020,38
AT,2021,41
AT,2022,44
AT,2023,47
AT,2024,51
BE,2020,21
BE,2021,23
BE,2022,25
BE,2023,26
BE,2024,28
XK,2020,16
XK,2021,17
XK,2022,18
XK,2023,19
XK,2024,21
DE,2020,25
DE,2021,26
DE,2022,29
DE,2023,30
DE,2024,33
FR,2020,25
FR,2021,27
FR,2022,29
FR,2023,31
FR,2024,33
HR,2020,30
HR,2021,32
HR,2022,35
HR,2023,37
HR,2024,40
RO,2020,23
RO,2021,24
RO,2022,27
RO,2023,30
RO,2024,32
RS,2020,27
RS,2021,30
RS,2022,37
RS,2023,36
RS,2024,37
HU,2020,38
HU,2021,41
HU,2022,44
HU,2023,48
HU,2024,52
SE,2020,30
SE,2021,32
SE,2022,35
SE,2023,37
SE,2024,39
IE,2020,19
IE,2021,21
IE,2022,22
IE,2023,24
IE,2024,25
IS,2020,14
IS,2021,15
IS,2022,16
IS,2023,17
IS,2024,18
IT,2020,43
IT,2021,46
IT,2022,53
IT,2023,56
IT,2024,60
SI,2020,26
SI,2021,28
SI,2022,30
SI,2023,32
SI,2024,34
SK,2020,24
SK,2021,25
SK,2022,27
SK,2023,29
SK,2024,31
TR,2020,19
TR,2021,21
TR,2022,22
TR,2023,24
TR,2024,27
DK,2020,21
DK,2021,22
DK,2022,24
DK,2023,26
DK,2024,27
EE,2020,21
EE,2021,23
EE,2022,24
EE,2023,26
EE,2024,28
EL,2020,28
EL,2021,28
EL,2022,34
EL,2023,34
EL,2024,37
LI,2020,14
LI,2021,16
LI,2022,17
LI,2023,18
LI,2024,19
LT,2020,20
LT,2021,21
LT,2022,23
LT,2023,24
LT,2024,26
LU,2020,24
LU,2021,26
LU,2022,28
LU,2023,30
LU,2024,32
LV,2020,21
LV,2021,22
LV,2022,24
LV,2023,25
LV,2024,27
ME,2020,43
ME,2021,47
ME,2022,50
ME,2023,54
ME,2024,57
MK,2020,22
MK,2021,24
MK,2022,25
MK,2023,27
MK,2024,29
MT,2020,21
MT,2021,22
MT,2022,24
MT,2023,25
MT,2024,27
NL,2020,18
NL,2021,19
NL,2022,21
NL,2023,22
NL,2024,23
BG,2020,13
BG,2021,14
BG,2022,15
BG,2023,16
BG,2024,17
ES,2020,33
ES,2021,34
ES,2022,36
ES,2023,39
ES,2024,44
NO,2020,15
NO,2021,17
NO,2022,18
NO,2023,19
NO,2024,20
CH,2020,12
CH,2021,13
CH,2022,14
CH,2023,15
CH,2024,16
CY,2020,26
CY,2021,28
CY,2022,30
CY,2023,32
CY,2024,34
CZ,2020,13
CZ,2021,14
CZ,2022,15
CZ,2023,17
CZ,2024,18
FI,2020,13
FI,2021,14
FI,2022,15
FI,2023,16
FI,2024,17
PL,2020,15
PL,2021,16
PL,2022,17
PL,2023,18
PL,2024,20
PT,2020,14
PT,2021,16
PT,2022,17
PT,2023,18
PT,2024,19
