lat,lon,individual_count,species,date,country
49.3858,2.9999,0,Aedes geniculatus,2019-05-25,France
49.3573,3.8409,0,Aedes geniculatus,2020-05-21,France
49.5444,2.63,0,Aedes rusticus,2020-05-16,France
49.4796,2.5821,0,Aedes geniculatus,2018-05-20,France
49.7886,3.4707,0,Aedes geniculatus,2020-06-08,France
49.4796,2.5821,0,Aedes geniculatus,2018-06-19,France
49.4796,2.5821,0,Aedes geniculatus,2018-05-07,France
44.8392,1.2704,1,Aedes albopictus,2025-08-07,France
43.7219,3.3123,0,Aedes albopictus,2017-07-18,France
43.7306,3.3058,0,Aedes albopictus,2017-07-18,France
46.3001,-1.2997,0,Aedes albopictus,2015-10-08,France
42.7113,9.454,0,Aedes albopictus,2016-07-23,France
48.9284,-0.4434,0,Aedes geniculatus,2010-01-01,France
45.7018,4.9489,0,Aedes albopictus,2014-08-01,France
46.3191,-1.3152,0,Aedes albopictus,2015-10-08,France
45.8329,-1.2253,0,Aedes albopictus,2013-05-16,France
42.716,9.4274,0,Aedes albopictus,2016-07-23,France
45.8382,-1.2461,0,Aedes albopictus,2013-05-16,France
45.6928,4.9869,0,Aedes albopictus,2014-08-01,France
44.0344,5.1916,1,Aedes albopictus,2025-07-31,France
44.98,1.8413,1,Aedes albopictus,2025-07-31,France
45.5949,5.6351,1,Aedes albopictus,2025-07-31,France
44.4837,4.2537,1,Aedes albopictus,2025-07-31,France
45.7967,4.8633,1,Aedes albopictus,2021-08-12,France
44.8277,1.2787,1,Aedes albopictus,2023-10-10,France
46.9444,4.7532,1,Aedes albopictus,2025-07-31,France
44.7837,1.377,1,Aedes albopictus,2025-07-26,France
44.4273,4.3535,1,Aedes albopictus,2025-07-31,France
43.3069,-0.3492,1,Aedes albopictus,2021-07-22,France
48.0257,7.5756,0,Aedes albopictus,2024-10-13,France
48.0257,7.5756,0,Aedes albopictus,2024-10-14,France
49.4482,6.3593,0,Aedes japonicus,2018-10-04,France
47.8224,7.1465,18,Aedes japonicus,2020,France
47.8185,7.1574,96,Aedes japonicus,2020-07-27,France
47.8208,7.1495,177,Aedes japonicus,2020-09-20,France
47.8215,7.1504,102,Aedes japonicus,2020,France
47.8208,7.1495,26,Aedes japonicus,2020,France
47.8208,7.1495,2,Aedes japonicus,2020,France
45.5085,5.9753,0,Aedes cinereus,2015,France
45.8279,5.8269,0,Aedes cinereus,2017,France
45.5515,5.9743,0,Aedes cinereus,2016,France
47.8215,7.1504,305,Aedes japonicus,2020-07-27,France
48.5432,7.6212,2,Aedes japonicus,2020-09-24,France
45.5234,6.2732,0,Aedes cinereus,2015,France
45.7173,5.7835,0,Aedes sticticus,2017,France
45.7173,5.7835,0,Aedes cantans,2017,France
48.9284,-0.4434,0,Aedes vexans,2010-01-01,France
45.88,5.818,0,Aedes sticticus,2016,France
45.5085,5.9753,0,Aedes cantans,2015,France
45.8279,5.8269,0,Aedes vexans,2017,France
45.5085,5.9753,0,Aedes sticticus,2015,France
45.4828,6.0004,0,Aedes vexans,2014,France
45.5085,5.9753,0,Aedes cataphylla,2014,France
45.5515,5.9743,0,Aedes cantans,2016,France
45.4828,6.0004,0,Aedes cataphylla,2014,France
45.5515,5.9743,0,Aedes sticticus,2016,France
45.5515,5.9743,0,Aedes geniculatus,2016,France
45.5515,5.9743,0,Aedes cataphylla,2016,France
45.5515,5.9743,0,Aedes rusticus,2016,France
45.8279,5.8269,0,Aedes rusticus,2017,France
45.5085,5.9753,0,Aedes vexans,2015,France
45.5515,5.9743,0,Aedes vexans,2016,France
45.8279,5.8269,0,Aedes cantans,2017,France
45.5085,5.9753,0,Aedes rusticus,2015,France
45.6536,5.9181,0,Aedes cantans,2014,France
45.8279,5.8269,0,Aedes sticticus,2017,France
45.8279,5.8269,0,Aedes geniculatus,2017,France
45.5234,6.2732,0,Aedes sticticus,2015,France
45.5234,6.2732,0,Aedes cantans,2015,France
45.5234,6.2732,0,Aedes vexans,2015,France
47.7311,7.4996,0,Aedes albopictus,2022-08-31,France
44.3952,4.1825,0,Aedes albopictus,2019-09-15,France
42.4845,9.5289,0,Aedes albopictus,2025-08-23,France
43.1778,0.3978,0,Aedes albopictus,2022-10-10,France
48.8695,8.0383,0,Aedes cinereus,2006-06-03,France
45.0725,5.8299,0,Aedes communis,1969-08-31,France
42.6005,2.9704,0,Aedes albopictus,2022-06-05,France
42.4009,9.5331,0,Aedes albopictus,2022-06-20,France
45.9128,6.14,0,Aedes albopictus,2021-08-09,France
43.29,3.5164,0,Aedes albopictus,2020-09-17,France
43.4943,3.4374,0,Aedes albopictus,2022-08-27,France
42.6003,2.9704,0,Aedes geniculatus,2023-05-20,France
45.0908,5.8483,0,Aedes communis,1969-08-31,France
43.2892,3.5177,0,Aedes albopictus,2023-06-29,France
45.2698,4.8868,0,Aedes albopictus,2025-08-28,France
47.1911,-1.5135,0,Aedes albopictus,2023-07-09,France
45.1851,5.7637,0,Aedes albopictus,2025-08-22,France
43.7997,4.4335,0,Aedes albopictus,2018-08-08,France
43.8645,4.8386,0,Aedes albopictus,2020-07-14,France
44.4545,4.3442,0,Aedes albopictus,2025-07-14,France
43.3555,-0.3741,0,Aedes albopictus,2020-08-03,France
43.6579,3.9124,0,Aedes albopictus,2023-06-18,France
43.9431,4.8238,0,Aedes albopictus,2025-09-15,France
45.1,4.86,0,Aedes albopictus,2020-09-15,France
43.6602,6.9265,0,Aedes albopictus,2020-09-21,France
43.9317,2.1479,0,Aedes albopictus,2025-07-27,France
43.5718,1.5181,0,Aedes albopictus,2020-05-25,France
45.9193,6.1432,0,Aedes albopictus,2024-09-06,France
43.6046,1.4442,0,Aedes albopictus,2021-09-19,France
44.0418,1.2291,0,Aedes albopictus,2022-08-19,France
45.3783,4.6821,0,Aedes albopictus,2021-07-30,France
43.5572,3.7155,0,Aedes albopictus,2025-07-11,France
45.7259,4.8266,0,Aedes albopictus,2020-08-05,France
43.6354,3.866,0,Aedes albopictus,2022-09-10,France
43.7201,7.1332,0,Aedes albopictus,2024-07-03,France
44.3855,-1.1663,0,Aedes albopictus,2022-09-02,France
45.6434,-1.0618,0,Aedes albopictus,2023-08-19,France
42.5393,9.5856,0,Aedes albopictus,2025-08-24,France
43.6302,3.8865,0,Aedes albopictus,2025-10-04,France
43.6171,3.974,0,Aedes caspius,2021-10-05,France
43.6208,3.9954,0,Aedes albopictus,2025-07-24,France
45.6976,5.1293,14,Aedes albopictus,2017-08-22,France
45.7232,5.984,38,Aedes albopictus,2019-07-31,France
46.2902,4.8082,1563,Aedes albopictus,2018-07-16,France
44.9054,6.6288,2,Aedes albopictus,2011-08-30,France
45.2391,5.8161,133,Aedes albopictus,2017-07-18,France
45.6846,5.9002,5,Aedes albopictus,2017-09-27,France
45.3097,5.6154,610,Aedes albopictus,2019-08-16,France
46.0634,4.0771,67,Aedes albopictus,2016-08-09,France
45.0766,5.7762,4500,Aedes albopictus,2019-08-16,France
45.5327,5.9924,397,Aedes albopictus,2019-08-28,France
45.5569,6.2679,1290,Aedes albopictus,2015-08-17,France
45.2177,5.8659,97,Aedes albopictus,2017-07-18,France
45.1885,5.6853,277,Aedes albopictus,2017-08-10,France
45.5605,5.45,36,Aedes albopictus,2019-08-06,France
45.5861,5.9971,114,Aedes albopictus,2019-08-28,France
45.4459,4.7456,336,Aedes albopictus,2019-08-05,France
45.2614,5.6247,167,Aedes albopictus,2019-08-16,France
44.5554,4.5005,55,Aedes albopictus,2017-08-07,France
45.0762,4.8097,658,Aedes albopictus,2019-08-05,France
45.2725,5.9224,2640,Aedes albopictus,2019-08-16,France
45.8311,5.4084,116,Aedes albopictus,2016-08-02,France
44.4805,4.256,22,Aedes albopictus,2014-07-07,France
45.1543,5.7526,1072,Aedes albopictus,2015-08-13,France
45.1469,5.7317,1994,Aedes albopictus,2019-08-16,France
45.9134,6.1307,58,Aedes albopictus,2019-08-09,France
45.5315,5.956,24,Aedes albopictus,2018-09-26,France
45.3351,5.6211,13,Aedes albopictus,2017-08-21,France
45.1591,5.6944,647,Aedes albopictus,2017-09-14,France
45.5575,6.2066,17,Aedes albopictus,2019-07-23,France
45.6625,6.3724,63,Aedes albopictus,2019-08-26,France
47.0465,3.088,1267,Aedes albopictus,2018-08-21,France
45.1572,1.5242,45,Aedes albopictus,2017-07-11,France
44.6306,4.3597,152,Aedes albopictus,2018-08-08,France
45.1838,5.7756,1847,Aedes albopictus,2015-08-13,France
44.9413,4.8419,153,Aedes albopictus,2017-08-07,France
45.6174,5.9133,60,Aedes albopictus,2019-07-31,France
44.4545,4.3311,308,Aedes albopictus,2013-08-26,France
48.8508,2.4689,0,Aedes albopictus,2025-07-23,France
43.9891,4.8006,0,Aedes albopictus,2025-09-24,France
48.0127,7.5734,0,Aedes albopictus,2024-10-14,France
42.6887,2.8948,0,Aedes caspius,2023-06-22,France
44.7964,-0.6315,0,Aedes albopictus,2022-05-29,France
44.4033,4.8371,0,Aedes albopictus,2022-07-19,France
43.6719,2.2934,0,Aedes albopictus,2022-09-22,France
44.728,0.6073,0,Aedes albopictus,2022-08-04,France
43.5551,1.5458,0,Aedes albopictus,2020-08-15,France
43.9651,4.7878,0,Aedes albopictus,2024-07-19,France
43.4347,6.8746,0,Aedes albopictus,2024-08-21,France
44.1033,4.889,0,Aedes albopictus,2025-10-10,France
42.9874,1.1396,0,Aedes albopictus,2025-12-02,France
43.939,5.9797,0,Aedes albopictus,2022-09-05,France
43.6243,1.4558,0,Aedes albopictus,2018-07-13,France
44.6037,1.9995,0,Aedes albopictus,2019-07-27,France
43.6355,3.8129,0,Aedes albopictus,2021-09-01,France
43.6108,3.8767,0,Aedes albopictus,2021-08-18,France
45.8064,4.8858,0,Aedes albopictus,2020-08-24,France
43.3099,6.6419,0,Aedes albopictus,2024-10-05,France
45.7847,4.8793,0,Aedes albopictus,2023-10-11,France
45.633,-1.0155,0,Aedes albopictus,2023-08-12,France
45.4165,4.7029,0,Aedes geniculatus,2018-06-02,France
48.616,2.406,0,Aedes albopictus,2023-08-17,France
46.1847,6.2099,0,Aedes albopictus,2023-08-09,France
45.6246,5.1113,0,Aedes albopictus,2020-09-06,France
45.9899,5.3701,0,Aedes albopictus,2023-07-10,France
48.7887,2.4615,0,Aedes albopictus,2023-08-24,France
48.4602,7.5009,0,Aedes albopictus,2025-07-23,France
43.0053,2.5256,0,Aedes albopictus,2019-10-12,France
44.1527,4.5474,0,Aedes albopictus,2023-05-27,France
42.5208,2.9333,0,Aedes albopictus,2024-09-19,France
43.8507,5.8132,0,Aedes albopictus,2023-09-02,France
45.2376,5.507,0,Aedes albopictus,2024-08-08,France
45.7549,4.8522,0,Aedes albopictus,2020-09-08,France
43.7465,3.7064,0,Aedes albopictus,2022-08-26,France
43.6735,0.5041,0,Aedes albopictus,2022-08-23,France
45.6517,-1.0963,0,Aedes albopictus,2023-06-26,France
42.6656,9.4339,0,Aedes albopictus,2024-11-20,France
42.5439,3.015,0,Aedes albopictus,2022-08-31,France
43.6958,7.3071,0,Aedes albopictus,2025-06-11,France
48.6838,2.3907,0,Aedes albopictus,2022-09-04,France
44.5761,0.1314,0,Aedes albopictus,2020-08-15,France
44.9756,1.847,1,Aedes albopictus,2017-07-11,France
47.9489,6.7739,0,Aedes japonicus,2023-10-01,France
45.6415,5.8667,0,Aedes albopictus,2025-08-05,France
44.21,2.1036,0,Aedes albopictus,2023-08-23,France
43.2198,2.0396,0,Aedes albopictus,2021-05-31,France
45.9912,-1.0516,0,Aedes caspius,2024-05-09,France
45.764,4.8357,0,Aedes albopictus,2023-08-23,France
43.6249,7.0312,0,Aedes albopictus,2025-05-02,France
42.5036,9.465,0,Aedes albopictus,2022-08-04,France
