borne_id,lat,lon,name,city
HYR-001,43.13017,6.0925,Borne Hyeres #1,Hyeres
HYR-002,43.11013,6.11232,Borne Hyeres #2,Hyeres
HYR-003,43.13551,6.15767,Borne Hyeres #3,Hyeres
HYR-004,43.14407,6.09869,Borne Hyeres #4,Hyeres
HYR-005,43.11821,6.09298,Borne Hyeres #5,Hyeres
HYR-006,43.10703,6.14054,Borne Hyeres #6,Hyeres
HYR-007,43.09646,6.10988,Borne Hyeres #7,Hyeres
HYR-008,43.13074,6.14449,Borne Hyeres #8,Hyeres
HYR-009,43.10712,6.14893,Borne Hyeres #9,Hyeres
HYR-010,43.13952,6.09065,Borne Hyeres #10,Hyeres
HYR-011,43.13932,6.15981,Borne Hyeres #11,Hyeres
HYR-012,43.11371,6.10555,Borne Hyeres #12,Hyeres
HYR-013,43.14765,6.12366,Borne Hyeres #13,Hyeres
HYR-014,43.1001,6.09967,Borne Hyeres #14,Hyeres
HYR-015,43.14161,6.15037,Borne Hyeres #15,Hyeres
HYR-016,43.13939,6.16297,Borne Hyeres #16,Hyeres
HYR-017,43.12449,6.18731,Borne Hyeres #17,Hyeres
HYR-018,43.11582,6.1452,Borne Hyeres #18,Hyeres
HYR-019,43.14062,6.15185,Borne Hyeres #19,Hyeres
HYR-020,43.14239,6.14774,Borne Hyeres #20,Hyeres
HYR-021,43.13375,6.09458,Borne Hyeres #21,Hyeres
HYR-022,43.10753,6.11894,Borne Hyeres #22,Hyeres
HYR-023,43.09939,6.11328,Borne Hyeres #23,Hyeres
HYR-024,43.10056,6.1178,Borne Hyeres #24,Hyeres
HYR-025,43.12996,6.12648,Borne Hyeres #25,Hyeres
HYR-026,43.11536,6.11095,Borne Hyeres #26,Hyeres
HYR-027,43.10968,6.18367,Borne Hyeres #27,Hyeres
HYR-028,43.13064,6.15091,Borne Hyeres #28,Hyeres
HYR-029,43.10441,6.16291,Borne Hyeres #29,Hyeres
HYR-030,43.10399,6.12795,Borne Hyeres #30,Hyeres
HYR-031,43.14942,6.154,Borne Hyeres #31,Hyeres
HYR-032,43.12563,6.15846,Borne Hyeres #32,Hyeres
HYR-033,43.14136,6.1676,Borne Hyeres #33,Hyeres
HYR-034,43.1076,6.09321,Borne Hyeres #34,Hyeres
HYR-035,43.11235,6.11677,Borne Hyeres #35,Hyeres
HYR-036,43.1066,6.18429,Borne Hyeres #36,Hyeres
HYR-037,43.1432,6.12147,Borne Hyeres #37,Hyeres
HYR-038,43.13105,6.12956,Borne Hyeres #38,Hyeres
HYR-039,43.1453,6.13589,Borne Hyeres #39,Hyeres
HYR-040,43.10957,6.11466,Borne Hyeres #40,Hyeres
HYR-041,43.12588,6.11627,Borne Hyeres #41,Hyeres
HYR-042,43.12715,6.17978,Borne Hyeres #42,Hyeres
HYR-043,43.11697,6.11193,Borne Hyeres #43,Hyeres
HYR-044,43.14986,6.14095,Borne Hyeres #44,Hyeres
HYR-045,43.1,6.09471,Borne Hyeres #45,Hyeres
HYR-046,43.10103,6.15274,Borne Hyeres #46,Hyeres
HYR-047,43.13856,6.13222,Borne Hyeres #47,Hyeres
